STARTTRAVELDATE,STARTREGION,ENDREGION,NUMVISITS
2016-03-01 05:00:00,BUKIT BATOK_0,QUEENSTOWN_0,1
2016-03-01 05:00:00,BUKIT BATOK_0,SEMBAWANG_0,1
2016-03-01 05:00:00,BUKIT BATOK_0,SERANGOON_0,1
2016-03-01 05:00:00,BUKIT BATOK_0,SUNGEI KADUT_0,7
2016-03-01 05:00:00,BUKIT BATOK_0,TAMPINES_0,1
2016-03-01 05:00:00,BUKIT BATOK_0,WOODLANDS_0,2
2016-03-01 05:00:00,BUKIT BATOK_0,YISHUN_0,3
2016-03-01 05:00:00,BUKIT MERAH_0,DOWNTOWN CORE_0,3
2016-03-01 05:00:00,BUKIT MERAH_0,GEYLANG_0,1
2016-03-01 05:00:00,BUKIT MERAH_0,JURONG EAST_2,1
2016-03-01 05:00:00,BUKIT MERAH_0,JURONG WEST_0,1
2016-03-01 05:00:00,BUKIT MERAH_0,PUNGGOL_0,1
2016-03-01 05:00:00,BUKIT MERAH_0,QUEENSTOWN_0,2
2016-03-01 05:00:00,BUKIT MERAH_0,TAMPINES_0,1
2016-03-01 05:00:00,BUKIT PANJANG_0,ANG MO KIO_0,2
2016-03-01 05:00:00,BUKIT PANJANG_0,BEDOK_0,2
2016-03-01 05:00:00,BUKIT PANJANG_0,BUKIT BATOK_0,1
2016-03-01 05:00:00,BUKIT PANJANG_0,BUKIT MERAH_0,1
2016-03-01 05:00:00,BUKIT PANJANG_0,BUKIT PANJANG_0,40
2016-03-01 05:00:00,BUKIT PANJANG_0,BUKIT TIMAH_0,4
2016-03-01 05:00:00,BUKIT PANJANG_0,CHOA CHU KANG_0,10
2016-03-01 05:00:00,BUKIT PANJANG_0,CLEMENTI_0,2
2016-03-01 05:00:00,BUKIT PANJANG_0,DOWNTOWN CORE_0,7
2016-03-01 05:00:00,BUKIT PANJANG_0,GEYLANG_0,3
2016-03-01 05:00:00,BUKIT PANJANG_0,JURONG EAST_2,5
2016-03-01 05:00:00,BUKIT PANJANG_0,JURONG WEST_0,6
2016-03-01 05:00:00,BUKIT PANJANG_0,KALLANG_0,1
2016-03-01 05:00:00,BUKIT PANJANG_0,NEWTON_0,2
2016-03-01 05:00:00,BUKIT PANJANG_0,OUTRAM_0,3
2016-03-01 05:00:00,BUKIT PANJANG_0,PIONEER_0,1
2016-03-01 05:00:00,BUKIT PANJANG_0,QUEENSTOWN_0,5
2016-03-01 05:00:00,BUKIT PANJANG_0,SUNGEI KADUT_0,1
2016-03-01 05:00:00,BUKIT PANJANG_0,WOODLANDS_0,5
2016-03-01 05:00:00,BUKIT TIMAH_0,TAMPINES_0,1
2016-03-01 05:00:00,CHANGI_0,BUKIT BATOK_0,2
